time,cpu_limit,cpu_usage,n,c,ram_limit_mb,ram_usage_mb,lat50_ms,lat66_ms,lat75_ms,lat80_ms,lat90_ms,lat95_ms,lat98_ms,lat99_ms,lat100_ms,t_norm,sin_day,cos_day,is_gap,time_since_last_obs,time_to_next_obs
1647425782,2.0,0.015131509999999999,200,31,896.0,30.547968,8657.0,8862.0,8969.0,9056.0,9264.0,9449.0,9620.0,9752.0,9757.0,0.0021060250410901067,0.43693261911886117,-0.8994942391977462,0.0,0.0,0.0
1647425783,2.0,0.014518040000000001,200,31,256.0,30.900224,8702.0,8837.0,8951.0,8972.0,9243.0,9475.0,9641.0,9739.0,9837.0,0.0021110513538373384,0.43686720491453396,-0.8995260114472302,0.0,0.0,0.0
1647425788,2.0,0.0147128,200,31,384.0,31.55968,8769.0,8891.0,8964.0,9023.0,9205.0,9378.0,9534.0,9595.0,9752.0,0.002136182917573497,0.43654009913953623,-0.8996848013850428,0.0,0.0,0.0
1647425846,2.0,0.01570835,200,41,1024.0,32.165888,11288.0,11601.0,11725.0,11803.0,12039.0,12159.0,12511.0,12618.0,12730.0,0.0024277090569129393,0.4327414656040058,-0.9015180663452602,0.0,0.0,0.0
1647425847,2.0,0.01573281,200,41,128.0,32.301056,11440.0,11628.0,11746.0,11824.0,12033.0,12256.0,12436.0,12523.0,12937.0,0.002432735369660171,0.4326759042339381,-0.9015495338001923,0.0,0.0,0.0
1647425848,2.0,0.01566045,200,41,896.0,31.502336,11395.0,11639.0,11800.0,11890.0,12079.0,12287.0,12810.0,13036.0,13180.0,0.002437761682407403,0.4326103405494271,-0.9015809964998757,0.0,0.0,0.0
1647425851,2.0,0.01590867,200,41,256.0,32.231424,11387.0,11590.0,11703.0,11789.0,11984.0,12079.0,12203.0,12836.0,12886.0,0.002452840620649098,0.43241363579636916,-0.9016753559776185,0.0,0.0,0.0
1647425857,2.0,0.01572824,200,41,384.0,33.60768,11527.0,11808.0,12013.0,12342.0,13704.0,13972.0,14155.0,14200.0,14296.0,0.0024829984971324885,0.4320201645555276,-0.9018639461789205,0.0,0.0,0.0
1647425915,2.0,0.016726110000000002,200,51,1024.0,33.345536,14719.0,15304.0,15812.0,15946.0,16146.0,16332.0,16923.0,17419.0,17710.0,0.0027745246364719307,0.42821237988401345,-0.9036781272743462,0.0,0.0,0.0
1647425916,2.0,0.01695557,200,51,640.0,32.82944,14748.0,15219.0,15655.0,15855.0,16281.0,16543.0,17129.0,17662.0,17776.0,0.0027795509492191625,0.4281466614156001,-0.9037092653717098,0.0,0.0,0.0
1647425917,2.0,0.01698054,200,51,896.0,32.653312,14688.0,15066.0,15355.0,15473.0,16123.0,16333.0,17063.0,17370.0,17518.0,0.002784577261966394,0.42808094070923625,-0.9037403986773499,0.0,0.0,0.0
1647425921,2.0,0.01716346,200,51,256.0,32.919552,14859.0,15035.0,15125.0,15238.0,15727.0,16264.0,16615.0,16740.0,16878.0,0.002804682512955321,0.427818035169304,-0.9038648841413611,0.0,0.0,0.0
1647425929,2.0,0.01692263,200,51,384.0,33.284096,14862.0,15208.0,15912.0,16710.0,17392.0,17615.0,17846.0,17883.0,17887.0,0.002844893014933175,0.4272921155241521,-0.9041136256084711,0.0,0.0,0.0
1647425967,2.0,0.01709177,300,1,768.0,29.954048,140.0,148.0,153.0,157.0,169.0,177.0,192.0,210.0,226.0,0.003035892899327982,0.42479202524637705,-0.9052909671962277,0.0,0.0,0.0
1647425968,2.0,0.01693472,300,1,128.0,33.34144,141.0,149.0,155.0,158.0,166.0,173.0,193.0,195.0,210.0,0.0030409192120752137,0.42472618949796437,-0.9053218565540873,0.0,0.0,0.0
1647425969,2.0,0.01677695,300,1,1024.0,30.539776,145.0,153.0,158.0,161.0,169.0,176.0,189.0,204.0,213.0,0.0030459455248224455,0.4246603515165627,-0.9053527411179741,0.0,0.0,0.0
1647425970,2.0,0.01695557,300,1,640.0,29.814784,150.0,157.0,162.0,164.0,175.0,184.0,192.0,209.0,218.0,0.0030509718375696772,0.42459451128934633,-0.9053836208939066,0.0,0.0,0.0
1647425971,2.0,0.01698054,300,1,896.0,30.134272,150.0,156.0,163.0,166.0,178.0,188.0,199.0,211.0,217.0,0.003055998150316909,0.4245286688034881,-0.905414495887899,0.0,0.0,0.0
1647425975,2.0,0.01718696,300,1,256.0,32.78848,147.0,154.0,159.0,162.0,172.0,181.0,202.0,206.0,207.0,0.003076103401305836,0.424265276438701,-0.9055379479670593,0.0,0.0,0.0
1647425982,2.0,0.01699879,300,1,384.0,32.58368,144.0,154.0,159.0,163.0,169.0,177.0,187.0,198.0,206.0,0.003111287590536458,0.42380425346324463,-0.9057538047099012,0.0,0.0,0.0
1647426060,2.0,0.01599442,300,11,768.0,31.27296,3012.0,3083.0,3142.0,3180.0,3285.0,3395.0,3548.0,3609.0,3744.0,0.0035033399848205353,0.41865973753926944,-0.9081431738242324,0.0,0.0,0.0
1647426061,2.0,0.01635182,300,11,128.0,31.076352,3025.0,3126.0,3171.0,3194.0,3294.0,3455.0,3570.0,3636.0,3675.0,0.0035083662975677675,0.4185936944019427,-0.9081736172158564,0.0,0.0,0.0
1647426062,2.0,0.0155505,300,11,1024.0,32.104448,3001.0,3097.0,3152.0,3193.0,3294.0,3384.0,3536.0,3618.0,3671.0,0.0035133926103149992,0.4185276490376687,-0.9082040558106983,0.0,0.0,0.0
1647426063,2.0,0.01615637,300,11,512.0,31.00672,3010.0,3092.0,3128.0,3158.0,3226.0,3256.0,3296.0,3306.0,3386.0,0.003518418923062231,0.41846160146001204,-0.9082344896025046,0.0,0.0,0.0
1647426064,2.0,0.01613981,300,11,896.0,30.37184,3028.0,3133.0,3179.0,3195.0,3251.0,3311.0,3367.0,3380.0,3397.0,0.0035234452358094627,0.41839555169575593,-0.9082649185789375,0.0,0.0,0.0
1647426068,2.0,0.015394890000000001,300,11,256.0,30.846976,3003.0,3077.0,3126.0,3176.0,3284.0,3362.0,3562.0,3603.0,3645.0,0.0035435504867983897,0.4181313304360885,-0.9083865864860327,0.0,0.0,0.0
1647426076,2.0,0.016681539999999998,300,11,384.0,31.690752,3014.0,3109.0,3201.0,3244.0,3450.0,3691.0,3770.0,3859.0,3903.0,0.0035837609887762437,0.4176027818105925,-0.9086296916918656,0.0,0.0,0.0
1647426152,2.0,0.016164480000000002,300,21,768.0,31.023104,5715.0,5821.0,5913.0,5964.0,6160.0,6339.0,6542.0,6652.0,6810.0,0.003965760757565857,0.41257454567134866,-0.9109238410888587,0.0,0.0,0.0
1647426154,2.0,0.01611634,300,21,1024.0,32.251904,5710.0,5868.0,5950.0,5984.0,6188.0,6302.0,6460.0,6622.0,6728.0,0.00397581338306032,0.4124420528156989,-0.9109838379846111,0.0,0.0,0.0
